;w1;w2;w3;expected;prdicted;cosine;group;result
50;спокойный;спокойно;возможно;возможный;вероятно;0.9438968300819397;: gram1-adjective-to-adverb;False
51;спокойный;спокойно;точно;точный;точная;0.8336649537086487;: gram1-adjective-to-adverb;False
52;спокойный;спокойно;профессионально;профессиональный;профессиональное;0.9170691967010498;: gram1-adjective-to-adverb;False
53;спокойный;спокойно;быстро;быстрый;быстром;0.8937656283378601;: gram1-adjective-to-adverb;False
54;спокойный;спокойно;тихо;тихий;тихий;0.8344501256942749;: gram1-adjective-to-adverb;True
55;спокойный;спокойно;быстро;быстрый;быстром;0.8937656283378601;: gram1-adjective-to-adverb;False
56;спокойный;спокойно;редко;редкий;нечасто;0.9236942529678345;: gram1-adjective-to-adverb;False
57;спокойный;спокойно;безопасно;безопасный;безопасный;0.9235934615135193;: gram1-adjective-to-adverb;True
58;спокойный;спокойно;серьезно;серьезный;серьезный;0.9178043007850647;: gram1-adjective-to-adverb;True
59;спокойный;спокойно;медленно;медленный;медленным;0.9417986869812012;: gram1-adjective-to-adverb;False
60;спокойный;спокойно;быстро;быстрый;быстром;0.8937656283378601;: gram1-adjective-to-adverb;False
61;спокойный;спокойно;типично;типичный;типичным;0.8980337977409363;: gram1-adjective-to-adverb;False
62;спокойный;спокойно;обычно;обычный;правило;0.9033620953559875;: gram1-adjective-to-adverb;False
63;полный;полностью;эффективно;эффективный;эффективный;0.9688937664031982;: gram1-adjective-to-adverb;True
64;полный;полностью;бесплатно;бесплатно;бесплатной;0.9251587390899658;: gram1-adjective-to-adverb;False
65;полный;полностью;больше;наибольший;больший;0.9654091000556946;: gram1-adjective-to-adverb;False
66;полный;полностью;случайно;случайный;случайное;0.8090640306472778;: gram1-adjective-to-adverb;False
67;полный;полностью;возможно;возможный;вероятно;0.9493795037269592;: gram1-adjective-to-adverb;False
68;полный;полностью;точно;точный;точное;0.8885006904602051;: gram1-adjective-to-adverb;False
69;полный;полностью;профессионально;профессиональный;профессиональный;0.9464051723480225;: gram1-adjective-to-adverb;True
70;полный;полностью;быстро;быстрый;быстрое;0.9621740579605103;: gram1-adjective-to-adverb;False
71;полный;полностью;тихо;тихий;тихий;0.8408889174461365;: gram1-adjective-to-adverb;True
72;полный;полностью;быстро;быстрый;быстрое;0.9621740579605103;: gram1-adjective-to-adverb;False
73;полный;полностью;редко;редкий;нечасто;0.8894917964935303;: gram1-adjective-to-adverb;False
74;полный;полностью;безопасно;безопасный;безопасного;0.9259935021400452;: gram1-adjective-to-adverb;False
75;полный;полностью;серьезно;серьезный;серьезное;0.9614186882972717;: gram1-adjective-to-adverb;False
76;полный;полностью;медленно;медленный;медленное;0.9434331059455872;: gram1-adjective-to-adverb;False
77;полный;полностью;быстро;быстрый;быстрое;0.9621740579605103;: gram1-adjective-to-adverb;False
78;полный;полностью;типично;типичный;типичный;0.9364551305770874;: gram1-adjective-to-adverb;True
79;полный;полностью;обычно;обычный;часто;0.9217811226844788;: gram1-adjective-to-adverb;False
80;полный;полностью;спокойно;спокойный;спокойной;0.8896589279174805;: gram1-adjective-to-adverb;False
81;эффективный;эффективно;бесплатно;бесплатно;бесплатный;0.9298496246337891;: gram1-adjective-to-adverb;False
82;эффективный;эффективно;больше;наибольший;больший;0.9601731300354004;: gram1-adjective-to-adverb;False
83;эффективный;эффективно;случайно;случайный;случайное;0.8595656156539917;: gram1-adjective-to-adverb;False
84;эффективный;эффективно;возможно;возможный;вероятно;0.9457690715789795;: gram1-adjective-to-adverb;False
85;эффективный;эффективно;точно;точный;точный;0.8991379737854004;: gram1-adjective-to-adverb;True
86;эффективный;эффективно;профессионально;профессиональный;профессиональный;0.9273061752319336;: gram1-adjective-to-adverb;True
87;эффективный;эффективно;быстро;быстрый;быстрое;0.9341413378715515;: gram1-adjective-to-adverb;False
88;эффективный;эффективно;тихо;тихий;тихий;0.861587405204773;: gram1-adjective-to-adverb;True
89;эффективный;эффективно;быстро;быстрый;быстрое;0.9341413378715515;: gram1-adjective-to-adverb;False
90;эффективный;эффективно;редко;редкий;нечасто;0.9175080060958862;: gram1-adjective-to-adverb;False
91;эффективный;эффективно;безопасно;безопасный;безопас;0.9400173425674438;: gram1-adjective-to-adverb;False
92;эффективный;эффективно;серьезно;серьезный;серьезный;0.9614859223365784;: gram1-adjective-to-adverb;True
93;эффективный;эффективно;медленно;медленный;медленным;0.9367436766624451;: gram1-adjective-to-adverb;False
94;эффективный;эффективно;быстро;быстрый;быстрое;0.9341413378715515;: gram1-adjective-to-adverb;False
95;эффективный;эффективно;типично;типичный;типичной;0.9344395399093628;: gram1-adjective-to-adverb;False
96;эффективный;эффективно;обычно;обычный;правило;0.911513090133667;: gram1-adjective-to-adverb;False
97;эффективный;эффективно;спокойно;спокойный;спокойный;0.9116430282592773;: gram1-adjective-to-adverb;True
98;эффективный;эффективно;полностью;полный;целиком;0.9318948984146118;: gram1-adjective-to-adverb;False
99;бесплатно;бесплатно;больше;наибольший;больший;0.9341346621513367;: gram1-adjective-to-adverb;False
100;бесплатно;бесплатно;случайно;случайный;случайное;0.8519968390464783;: gram1-adjective-to-adverb;False
101;бесплатно;бесплатно;возможно;возможный;вероятно;0.9486744403839111;: gram1-adjective-to-adverb;False
102;бесплатно;бесплатно;точно;точный;точное;0.881014883518219;: gram1-adjective-to-adverb;False
103;бесплатно;бесплатно;профессионально;профессиональный;профессиональным;0.9297279119491577;: gram1-adjective-to-adverb;False
104;бесплатно;бесплатно;быстро;быстрый;быстрое;0.9279853105545044;: gram1-adjective-to-adverb;False
105;бесплатно;бесплатно;тихо;тихий;тихий;0.8360670804977417;: gram1-adjective-to-adverb;True
106;бесплатно;бесплатно;быстро;быстрый;быстрое;0.9279853105545044;: gram1-adjective-to-adverb;False
107;бесплатно;бесплатно;редко;редкий;нечасто;0.9494250416755676;: gram1-adjective-to-adverb;False
108;бесплатно;бесплатно;безопасно;безопасный;безопас;0.9393361806869507;: gram1-adjective-to-adverb;False
109;бесплатно;бесплатно;серьезно;серьезный;серьёзно;0.9622186422348022;: gram1-adjective-to-adverb;False
110;бесплатно;бесплатно;медленно;медленный;медленное;0.9189937114715576;: gram1-adjective-to-adverb;False
111;бесплатно;бесплатно;быстро;быстрый;быстрое;0.9279853105545044;: gram1-adjective-to-adverb;False
112;бесплатно;бесплатно;типично;типичный;типичной;0.9258446097373962;: gram1-adjective-to-adverb;False
113;бесплатно;бесплатно;обычно;обычный;правило;0.9251231551170349;: gram1-adjective-to-adverb;False
114;бесплатно;бесплатно;спокойно;спокойный;спокойной;0.9259912967681885;: gram1-adjective-to-adverb;False
115;бесплатно;бесплатно;полностью;полный;целиком;0.9470148682594299;: gram1-adjective-to-adverb;False
116;бесплатно;бесплатно;эффективно;эффективный;эффективное;0.9446227550506592;: gram1-adjective-to-adverb;False
117;наибольший;больше;случайно;случайный;случайной;0.8598535060882568;: gram1-adjective-to-adverb;False
118;наибольший;больше;возможно;возможный;вероятно;0.9566423296928406;: gram1-adjective-to-adverb;False
119;наибольший;больше;точно;точный;безошиб;0.928469181060791;: gram1-adjective-to-adverb;False
120;наибольший;больше;профессионально;профессиональный;профессиональный;1.0198780298233032;: gram1-adjective-to-adverb;True
121;наибольший;больше;быстро;быстрый;быстрое;0.9989996552467346;: gram1-adjective-to-adverb;False
122;наибольший;больше;тихо;тихий;тихий;0.8892422318458557;: gram1-adjective-to-adverb;True
123;наибольший;больше;быстро;быстрый;быстрое;0.9989996552467346;: gram1-adjective-to-adverb;False
124;наибольший;больше;редко;редкий;нечасто;0.9132925271987915;: gram1-adjective-to-adverb;False
125;наибольший;больше;безопасно;безопасный;безопасного;1.0132744312286377;: gram1-adjective-to-adverb;False
126;наибольший;больше;серьезно;серьезный;серьезный;0.9937547445297241;: gram1-adjective-to-adverb;True
127;наибольший;больше;медленно;медленный;медленное;0.924528956413269;: gram1-adjective-to-adverb;False
128;наибольший;больше;быстро;быстрый;быстрое;0.9989996552467346;: gram1-adjective-to-adverb;False
129;наибольший;больше;типично;типичный;типичный;0.9661102294921875;: gram1-adjective-to-adverb;True
130;наибольший;больше;обычно;обычный;традиционно;0.97353196144104;: gram1-adjective-to-adverb;False
131;наибольший;больше;спокойно;спокойный;мирно;0.9590591192245483;: gram1-adjective-to-adverb;False
132;наибольший;больше;полностью;полный;безоговорочно;1.0024192333221436;: gram1-adjective-to-adverb;False
133;наибольший;больше;эффективно;эффективный;эффективный;1.0302602052688599;: gram1-adjective-to-adverb;True
134;наибольший;больше;бесплатно;бесплатно;бесплатный;0.9940076470375061;: gram1-adjective-to-adverb;False
135;случайный;случайно;возможно;возможный;возможен;0.9677058458328247;: gram1-adjective-to-adverb;False
136;случайный;случайно;точно;точный;точный;0.9448109269142151;: gram1-adjective-to-adverb;True
137;случайный;случайно;профессионально;профессиональный;профессиональным;0.9845523238182068;: gram1-adjective-to-adverb;False
138;случайный;случайно;быстро;быстрый;быстрой;0.9943009614944458;: gram1-adjective-to-adverb;False
139;случайный;случайно;тихо;тихий;тихий;0.902792364358902;: gram1-adjective-to-adverb;True
140;случайный;случайно;быстро;быстрый;быстрой;0.9943009614944458;: gram1-adjective-to-adverb;False
141;случайный;случайно;редко;редкий;нечасто;1.0417869687080383;: gram1-adjective-to-adverb;False
142;случайный;случайно;безопасно;безопасный;безопасного;0.964512825012207;: gram1-adjective-to-adverb;False
143;случайный;случайно;серьезно;серьезный;серьезный;1.0330607295036316;: gram1-adjective-to-adverb;True
144;случайный;случайно;медленно;медленный;медленным;1.0698513388633728;: gram1-adjective-to-adverb;False
145;случайный;случайно;быстро;быстрый;быстрой;0.9943009614944458;: gram1-adjective-to-adverb;False
146;случайный;случайно;типично;типичный;типичной;1.010215163230896;: gram1-adjective-to-adverb;False
147;случайный;случайно;обычно;обычный;обыкновенно;0.9819349646568298;: gram1-adjective-to-adverb;False
148;случайный;случайно;спокойно;спокойный;спокойный;1.0109291672706604;: gram1-adjective-to-adverb;True
149;случайный;случайно;полностью;полный;целиком;0.9798613786697388;: gram1-adjective-to-adverb;False
150;случайный;случайно;эффективно;эффективный;эффективный;0.9908410906791687;: gram1-adjective-to-adverb;True
151;случайный;случайно;бесплатно;бесплатно;бесплатной;0.9662158489227295;: gram1-adjective-to-adverb;False
152;случайный;случайно;больше;наибольший;меньше;0.9681490063667297;: gram1-adjective-to-adverb;False
153;возможный;возможно;точно;точный;точном;0.9451844096183777;: gram1-adjective-to-adverb;False
154;возможный;возможно;профессионально;профессиональный;профессиональным;0.9733287692070007;: gram1-adjective-to-adverb;False
155;возможный;возможно;быстро;быстрый;стремительно;0.9630310535430908;: gram1-adjective-to-adverb;False
156;возможный;возможно;тихо;тихий;тихий;0.9062085747718811;: gram1-adjective-to-adverb;True
157;возможный;возможно;быстро;быстрый;стремительно;0.9630310535430908;: gram1-adjective-to-adverb;False
158;возможный;возможно;редко;редкий;нечасто;0.9738445281982422;: gram1-adjective-to-adverb;False
159;возможный;возможно;безопасно;безопасный;безопасного;0.9686695337295532;: gram1-adjective-to-adverb;False
160;возможный;возможно;серьезно;серьезный;серьёзно;1.0089107155799866;: gram1-adjective-to-adverb;False
161;возможный;возможно;медленно;медленный;медленной;0.9860426187515259;: gram1-adjective-to-adverb;False
162;возможный;возможно;быстро;быстрый;стремительно;0.9630310535430908;: gram1-adjective-to-adverb;False
163;возможный;возможно;типично;типичный;типичная;0.97065269947052;: gram1-adjective-to-adverb;False
164;возможный;возможно;обычно;обычный;традиционно;0.917360246181488;: gram1-adjective-to-adverb;False
165;возможный;возможно;спокойно;спокойный;спокойной;0.9646843075752258;: gram1-adjective-to-adverb;False
166;возможный;возможно;полностью;полный;полное;0.9756292700767517;: gram1-adjective-to-adverb;False
167;возможный;возможно;эффективно;эффективный;эффективный;0.9952797293663025;: gram1-adjective-to-adverb;True
168;возможный;возможно;бесплатно;бесплатно;бесплатный;0.9558972120285034;: gram1-adjective-to-adverb;False
169;возможный;возможно;больше;наибольший;больший;0.9199817776679993;: gram1-adjective-to-adverb;False
170;возможный;возможно;случайно;случайный;случайное;0.8860705494880676;: gram1-adjective-to-adverb;False
171;точный;точно;профессионально;профессиональный;профессиональным;0.9533416032791138;: gram1-adjective-to-adverb;False
172;точный;точно;быстро;быстрый;быстрой;0.9366280436515808;: gram1-adjective-to-adverb;False
173;точный;точно;тихо;тихий;спокой;0.8253937363624573;: gram1-adjective-to-adverb;False
174;точный;точно;быстро;быстрый;быстрой;0.9366280436515808;: gram1-adjective-to-adverb;False
175;точный;точно;редко;редкий;нечасто;0.9674257040023804;: gram1-adjective-to-adverb;False
176;точный;точно;безопасно;безопасный;безопасный;0.9626863598823547;: gram1-adjective-to-adverb;True
177;точный;точно;серьезно;серьезный;серьезной;0.9607683420181274;: gram1-adjective-to-adverb;False
178;точный;точно;медленно;медленный;медленной;0.963370680809021;: gram1-adjective-to-adverb;False
179;точный;точно;быстро;быстрый;быстрой;0.9366280436515808;: gram1-adjective-to-adverb;False
180;точный;точно;типично;типичный;типичных;0.9338495135307312;: gram1-adjective-to-adverb;False
181;точный;точно;обычно;обычный;часто;0.9071122407913208;: gram1-adjective-to-adverb;False
182;точный;точно;спокойно;спокойный;спокойный;0.9695853590965271;: gram1-adjective-to-adverb;True
183;точный;точно;полностью;полный;полноценный;0.8877742290496826;: gram1-adjective-to-adverb;False
184;точный;точно;эффективно;эффективный;эффективный;0.9728918671607971;: gram1-adjective-to-adverb;True
185;точный;точно;бесплатно;бесплатно;бесплатной;0.9201585650444031;: gram1-adjective-to-adverb;False
186;точный;точно;больше;наибольший;больший;0.9523928165435791;: gram1-adjective-to-adverb;False
187;точный;точно;случайно;случайный;случайное;0.8792258501052856;: gram1-adjective-to-adverb;False
188;точный;точно;возможно;возможный;возможным;0.914182186126709;: gram1-adjective-to-adverb;False
189;профессиональный;профессионально;быстро;быстрый;быстрое;0.9212111830711365;: gram1-adjective-to-adverb;False
190;профессиональный;профессионально;тихо;тихий;тихий;0.8458878397941589;: gram1-adjective-to-adverb;True
191;профессиональный;профессионально;быстро;быстрый;быстрое;0.9212111830711365;: gram1-adjective-to-adverb;False
192;профессиональный;профессионально;редко;редкий;нечасто;0.9319936037063599;: gram1-adjective-to-adverb;False
193;профессиональный;профессионально;безопасно;безопасный;безопас;0.9262140393257141;: gram1-adjective-to-adverb;False
194;профессиональный;профессионально;серьезно;серьезный;серьезный;0.9509730935096741;: gram1-adjective-to-adverb;True
195;профессиональный;профессионально;медленно;медленный;медленной;0.8968928456306458;: gram1-adjective-to-adverb;False
196;профессиональный;профессионально;быстро;быстрый;быстрое;0.9212111830711365;: gram1-adjective-to-adverb;False
197;профессиональный;профессионально;типично;типичный;типичный;0.9204407930374146;: gram1-adjective-to-adverb;True
198;профессиональный;профессионально;обычно;обычный;правило;0.9147577285766602;: gram1-adjective-to-adverb;False
199;профессиональный;профессионально;спокойно;спокойный;спокойной;0.903019368648529;: gram1-adjective-to-adverb;False
200;профессиональный;профессионально;полностью;полный;полный;0.9000200033187866;: gram1-adjective-to-adverb;True
201;профессиональный;профессионально;эффективно;эффективный;эффективное;0.9299728870391846;: gram1-adjective-to-adverb;False
202;профессиональный;профессионально;бесплатно;бесплатно;бесплатный;0.9269793629646301;: gram1-adjective-to-adverb;False
203;профессиональный;профессионально;больше;наибольший;больший;0.9553819894790649;: gram1-adjective-to-adverb;False
204;профессиональный;профессионально;случайно;случайный;случайное;0.8443037867546082;: gram1-adjective-to-adverb;False
205;профессиональный;профессионально;возможно;возможный;вероятно;0.9355894327163696;: gram1-adjective-to-adverb;False
206;профессиональный;профессионально;точно;точный;точное;0.8615202307701111;: gram1-adjective-to-adverb;False
207;быстрый;быстро;тихо;тихий;тихий;0.8618705868721008;: gram1-adjective-to-adverb;True
208;быстрый;быстро;быстро;быстрый;быстрым;0.9519802331924438;: gram1-adjective-to-adverb;False
209;быстрый;быстро;редко;редкий;нечасто;0.8710479736328125;: gram1-adjective-to-adverb;False
210;быстрый;быстро;безопасно;безопасный;безопасный;0.9396544694900513;: gram1-adjective-to-adverb;True
211;быстрый;быстро;серьезно;серьезный;серьезный;0.9133026599884033;: gram1-adjective-to-adverb;True
212;быстрый;быстро;медленно;медленный;медленное;0.9300552010536194;: gram1-adjective-to-adverb;False
213;быстрый;быстро;быстро;быстрый;быстрым;0.9519802331924438;: gram1-adjective-to-adverb;False
214;быстрый;быстро;типично;типичный;типичный;0.8879887461662292;: gram1-adjective-to-adverb;True
215;быстрый;быстро;обычно;обычный;традиционно;0.8564378023147583;: gram1-adjective-to-adverb;False
216;быстрый;быстро;спокойно;спокойный;спокойной;0.937480092048645;: gram1-adjective-to-adverb;False
217;быстрый;быстро;полностью;полный;полный;0.9231542944908142;: gram1-adjective-to-adverb;True
218;быстрый;быстро;эффективно;эффективный;эффективный;0.953954815864563;: gram1-adjective-to-adverb;True
219;быстрый;быстро;бесплатно;бесплатно;бесплатное;0.9282092452049255;: gram1-adjective-to-adverb;False
220;быстрый;быстро;больше;наибольший;больший;0.9676336646080017;: gram1-adjective-to-adverb;False
221;быстрый;быстро;случайно;случайный;случайное;0.7881191372871399;: gram1-adjective-to-adverb;False
222;быстрый;быстро;возможно;возможный;возможен;0.8924306035041809;: gram1-adjective-to-adverb;False
223;быстрый;быстро;точно;точный;точная;0.8692048192024231;: gram1-adjective-to-adverb;False
224;быстрый;быстро;профессионально;профессиональный;профессиональный;0.905484676361084;: gram1-adjective-to-adverb;True
225;тихий;тихо;быстро;быстрый;быстрый;0.9179169535636902;: gram1-adjective-to-adverb;True
226;тихий;тихо;редко;редкий;нечасто;0.9144669771194458;: gram1-adjective-to-adverb;False
227;тихий;тихо;безопасно;безопасный;безопасного;0.9003399610519409;: gram1-adjective-to-adverb;False
228;тихий;тихо;серьезно;серьезный;серьезный;0.9341580271720886;: gram1-adjective-to-adverb;True
229;тихий;тихо;медленно;медленный;медленным;0.9346439242362976;: gram1-adjective-to-adverb;False
230;тихий;тихо;быстро;быстрый;быстрый;0.9179169535636902;: gram1-adjective-to-adverb;True
231;тихий;тихо;типично;типичный;типичный;0.8802410960197449;: gram1-adjective-to-adverb;True
232;тихий;тихо;обычно;обычный;правило;0.8676947355270386;: gram1-adjective-to-adverb;False
233;тихий;тихо;спокойно;спокойный;спокойный;0.8802516460418701;: gram1-adjective-to-adverb;True
234;тихий;тихо;полностью;полный;целиком;0.8743229508399963;: gram1-adjective-to-adverb;False
235;тихий;тихо;эффективно;эффективный;эффективный;0.9333245754241943;: gram1-adjective-to-adverb;True
236;тихий;тихо;бесплатно;бесплатно;бесплатный;0.8993822932243347;: gram1-adjective-to-adverb;False
237;тихий;тихо;больше;наибольший;больший;0.9307854175567627;: gram1-adjective-to-adverb;False
238;тихий;тихо;случайно;случайный;случайное;0.8268635869026184;: gram1-adjective-to-adverb;False
239;тихий;тихо;возможно;возможный;вероятно;0.9163239598274231;: gram1-adjective-to-adverb;False
240;тихий;тихо;точно;точный;точную;0.8384876847267151;: gram1-adjective-to-adverb;False
241;тихий;тихо;профессионально;профессиональный;профессиональным;0.8977760076522827;: gram1-adjective-to-adverb;False
242;тихий;тихо;быстро;быстрый;быстрый;0.9179169535636902;: gram1-adjective-to-adverb;True
243;быстрый;быстро;редко;редкий;нечасто;0.8710479736328125;: gram1-adjective-to-adverb;False
244;быстрый;быстро;безопасно;безопасный;безопасный;0.9396544694900513;: gram1-adjective-to-adverb;True
245;быстрый;быстро;серьезно;серьезный;серьезный;0.9133026599884033;: gram1-adjective-to-adverb;True
246;быстрый;быстро;медленно;медленный;медленное;0.9300552010536194;: gram1-adjective-to-adverb;False
247;быстрый;быстро;быстро;быстрый;быстрым;0.9519802331924438;: gram1-adjective-to-adverb;False
248;быстрый;быстро;типично;типичный;типичный;0.8879887461662292;: gram1-adjective-to-adverb;True
249;быстрый;быстро;обычно;обычный;традиционно;0.8564378023147583;: gram1-adjective-to-adverb;False
250;быстрый;быстро;спокойно;спокойный;спокойной;0.937480092048645;: gram1-adjective-to-adverb;False
251;быстрый;быстро;полностью;полный;полный;0.9231542944908142;: gram1-adjective-to-adverb;True
252;быстрый;быстро;эффективно;эффективный;эффективный;0.953954815864563;: gram1-adjective-to-adverb;True
253;быстрый;быстро;бесплатно;бесплатно;бесплатное;0.9282092452049255;: gram1-adjective-to-adverb;False
254;быстрый;быстро;больше;наибольший;больший;0.9676336646080017;: gram1-adjective-to-adverb;False
255;быстрый;быстро;случайно;случайный;случайное;0.7881191372871399;: gram1-adjective-to-adverb;False
256;быстрый;быстро;возможно;возможный;возможен;0.8924306035041809;: gram1-adjective-to-adverb;False
257;быстрый;быстро;точно;точный;точная;0.8692048192024231;: gram1-adjective-to-adverb;False
258;быстрый;быстро;профессионально;профессиональный;профессиональный;0.905484676361084;: gram1-adjective-to-adverb;True
259;быстрый;быстро;быстро;быстрый;быстрым;0.9519802331924438;: gram1-adjective-to-adverb;False
260;быстрый;быстро;тихо;тихий;тихий;0.8618705868721008;: gram1-adjective-to-adverb;True
261;редкий;редко;безопасно;безопасный;безопасного;1.0181995034217834;: gram1-adjective-to-adverb;False
262;редкий;редко;серьезно;серьезный;серьезное;1.0442031025886536;: gram1-adjective-to-adverb;False
263;редкий;редко;медленно;медленный;медленное;0.9566496014595032;: gram1-adjective-to-adverb;False
264;редкий;редко;быстро;быстрый;быстрое;1.018937349319458;: gram1-adjective-to-adverb;False
265;редкий;редко;типично;типичный;типичной;1.0331900119781494;: gram1-adjective-to-adverb;False
266;редкий;редко;обычно;обычный;традиционно;1.0050408244132996;: gram1-adjective-to-adverb;False
267;редкий;редко;спокойно;спокойный;благополучно;0.9200333952903748;: gram1-adjective-to-adverb;False
268;редкий;редко;полностью;полный;полный;0.9857829213142395;: gram1-adjective-to-adverb;True
269;редкий;редко;эффективно;эффективный;эффективный;1.0602462887763977;: gram1-adjective-to-adverb;True
270;редкий;редко;бесплатно;бесплатно;бесплатный;0.9918602705001831;: gram1-adjective-to-adverb;False
271;редкий;редко;больше;наибольший;больший;0.9771757125854492;: gram1-adjective-to-adverb;False
272;редкий;редко;случайно;случайный;случайное;0.917188823223114;: gram1-adjective-to-adverb;False
273;редкий;редко;возможно;возможный;вероятно;1.0182032585144043;: gram1-adjective-to-adverb;False
274;редкий;редко;точно;точный;уникальный;0.9682930707931519;: gram1-adjective-to-adverb;False
275;редкий;редко;профессионально;профессиональный;профессиональный;1.0601248145103455;: gram1-adjective-to-adverb;True
276;редкий;редко;быстро;быстрый;быстрое;1.018937349319458;: gram1-adjective-to-adverb;False
277;редкий;редко;тихо;тихий;тихий;0.9105199575424194;: gram1-adjective-to-adverb;True
278;редкий;редко;быстро;быстрый;быстрое;1.018937349319458;: gram1-adjective-to-adverb;False
279;безопасный;безопасно;серьезно;серьезный;серьезный;0.9514481425285339;: gram1-adjective-to-adverb;True
280;безопасный;безопасно;медленно;медленный;медленным;0.9740210175514221;: gram1-adjective-to-adverb;False
281;безопасный;безопасно;быстро;быстрый;быстрый;0.9656895995140076;: gram1-adjective-to-adverb;True
282;безопасный;безопасно;типично;типичный;типичной;0.9214573502540588;: gram1-adjective-to-adverb;False
283;безопасный;безопасно;обычно;обычный;часто;0.9190651774406433;: gram1-adjective-to-adverb;False
284;безопасный;безопасно;спокойно;спокойный;спокойной;0.9450856447219849;: gram1-adjective-to-adverb;False
285;безопасный;безопасно;полностью;полный;целиком;0.9131779074668884;: gram1-adjective-to-adverb;False
286;безопасный;безопасно;эффективно;эффективный;эффективный;0.9546219706535339;: gram1-adjective-to-adverb;True
287;безопасный;безопасно;бесплатно;бесплатно;бесплатное;0.928181529045105;: gram1-adjective-to-adverb;False
288;безопасный;безопасно;больше;наибольший;больший;0.9748818874359131;: gram1-adjective-to-adverb;False
289;безопасный;безопасно;случайно;случайный;случайное;0.829345166683197;: gram1-adjective-to-adverb;False
290;безопасный;безопасно;возможно;возможный;вероятно;0.9364780783653259;: gram1-adjective-to-adverb;False
291;безопасный;безопасно;точно;точный;точный;0.8811783194541931;: gram1-adjective-to-adverb;True
292;безопасный;безопасно;профессионально;профессиональный;профессиональных;0.9329614639282227;: gram1-adjective-to-adverb;False
